ORA-00000    성공적인 정상 종료입니다.
ORA-01474 CONNECT BY 없이 START WITH 나 PRIOR 는 지정할 수 없습니다.
ORA-01475 바인드 변수의 데이타 유형 변경을 위해서는 커서를 재구문분석을 해야 합니다.
ORA-01476 제수가 0 입니다.
ORA-01477 사용자 데이타 영역 기술자가 너무 큽니다.
ORA-01478 LONG 열은 배열 바인드에 사용할 수 없습니다.
ORA-01479 버퍼내의 마지막 문자가 널(Null)이 아닙니다.
ORA-01480 STR 바인드 값에 종료의 널이 없습니다.
ORA-01481 숫자 형식 모델이 부적합합니다.
ORA-01482 지정된 문자세트는 제공하지 않습니다.
ORA-01483 DATE 또는 NUMBER 바인드 변수의 길이가 부적합합니다.
ORA-01484 배열은 PL/SQL문 범위에서만 해야 합니다.
ORA-01485 실행 바인드 길이가 컴파일 바인드 길이와 다릅니다.
ORA-01486 배열요소 크기가 너무 큽니다.
ORA-01487 팩형 십진수가 제공된 버퍼에 비해 너무 큽니다.
ORA-01488 부적절한 팩형 십진수 입니다.
ORA-01489 스트링 연결의 결과가 너무 깁니다.
ORA-01490 부적합한 ANALYZE 명령입니다.
ORA-01491 CASCADE 옵션이 부적합합니다.
ORA-01492 현 트랜잭션이 이미 롤백 세그먼트에 연결되어 있습니다.
ORA-01493 명시된 SAMPLE 길이가 부적합합니다.
ORA-01494 지정된 SIZE가 부적당합니다.
ORA-01495 지정된 연결행 테이블이 없습니다.
ORA-01496 지정된 연결행 테이블 형식이 틀립니다.
ORA-01497 ANALYZE CLUSTER에 대한 옵션이 잘못되었습니다.
ORA-01498 블록 체크 실패 - 트래스 화일을 보십시오
ORA-01499 테이블/색인의 교차 참조 실패 - 트래스 화일을 보십시오
ORA-01500 날짜/시간의 획득 오류입니다.
ORA-01501 CREATE DATABASE 문 오류입니다.
ORA-01502 색인 %S는 직접 로드 상태입니다.(인덱스 %s 또는 인덱스 분할영역은 사용할 수 없은 상태입니다) -- 인데스 리빌드 필요.
ORA-01503 CREATE CONTROLFILE이 실패했습니다.
ORA-01504 데이타베이스명 %s가 db_name 파라미터 %s와 맞지않습니다.
ORA-01505 로그 화일 등록 오류입니다.
ORA-01506 데이타베이스 명을 올바르게 지정해 주십시오.
ORA-01507 데이타베이스가 마운트하지 않았습니다.
ORA-01508 화일 %s 의 줄 %s 에 오류. 데이타베이스를 생성할 수 없습니다.
ORA-01509 지정한 이름 %s 가 실제의 이름 %s 와 일치하지 않습니다.
ORA-01510 로그 화일 삭제 오류입니다.
ORA-01511 로그/데이타 화일의 재명명 오류입니다.
ORA-01512 로드 화일 %s의 재명명 오류 - 새로운 화일 %s가 없습니다.
ORA-01513 운영 시스템으로 부터 부정확한 현시각이 보내졌습니다.
ORA-01514 로그 명세에 오류: 그런 로그가 없습니다.
ORA-01515 로그 그룹 %s의 삭제시 오류. 그런 로그가 없습니다.
ORA-01516 로그/데이타 화일 %s 는 존재하지 않습니다.
ORA-01517 로그 멤버: %s
ORA-01518 2개 이상의 로그 화일을 CREATE DATABASE 에 지정해 주십시오.
ORA-01519 오류 발생(화일 %s 의 줄 %s 부근)
ORA-01520 추가할 데이타 화일의 수(%s)가 최대수 %s 를 초과했습니다.
ORA-01521 데이타 화일의 등록중 오류가 발생했습니다.
ORA-01522 재명명할 화일 %s 가 없습니다.
ORA-01523 데이타 화일 %s 는 이미 데이타베이스의 일부입니다. 재명명할 수 없습니다.
ORA-01524 %s로 데이타 화일을 생성할 수 없음 - 화일이 이미 데이타베이스의 부분입니다.
ORA-01525 데이타 화일의 재명명중 오류가 발생했습니다.
ORA-01526 화일 %s 의 열기 오류가 발생했습니다.
ORA-01527 화일을 읽는 도중 오류가 발생했습니다.
ORA-01528 SQL 문의 처리중 EOF 오류입니다.
ORA-01529 화일 %s 의 클로즈중 오류가 발생했습니다.
ORA-01530 이 인스턴스는 이미 데이타베이스를 마운트했습니다.
ORA-01531 이 인스턴스는 이미 데이타베이스를 개방했습니다.
ORA-01532 인스턴스가 기동되어 있습니다. 데이타베이스를 생성할 수 없습니다.
ORA-01533 화일 %s 는 테이블 영역에 속해 있지 않습니다. 재명명할 수 없습니다.
ORA-01534 롤백 세그먼트 %s 가 존재하지 않습니다.
ORA-01535 롤백 세그먼트 %s 는 이미 존재합니다.
ORA-01536 테이블 영역 %s 에 대한 영역 할당량이 초과됐습니다.
ORA-01537 데이타 화일 %s 는 이미 데이타베이스의 일부입니다 등록할 수 없습니다.
ORA-01538 롤백 세그먼트를 획득할 수 없습니다.
ORA-01539 테이블 영역 %s 가 온라인이 아닙니다.
ORA-01540 테이블 영역 %s 가 오프라인이 아닙니다.
ORA-01541 SYSTEM 테이블 영역은 오프라인될 수 없습니다 필요하면 중지 하십시오
ORA-01542 테이블 영역 %s 가 오프라인입니다. 영역을 할당할 수 없습니다.
ORA-01543 테이블 영역 %s 는 이미 존재하고 있습니다.
ORA-01544 시스템 롤백 세그먼트는 삭제할 수 없습니다.
ORA-01545 롤백 세그먼트 %s 는 사용할 수 없습니다.
ORA-01546 테이블 영역에 액티브 롤백 세그먼트 %s 가 있습니다.
ORA-01548 액티브 롤백 세그먼트 %s 가 존재함, 테이블 영역의 삭제를 종료하십시오.
ORA-01549 테이블 영역이 비어있지 않으므로 INCLUDING CONTENTS를 사용해 주십시오.
ORA-01550 시스템 테이블 영역은 삭제할 수 없습니다.
ORA-01551 롤백 세그먼트 확장 오류입니다.
ORA-01552 시스템 테이블 영역이 아닌 %s 에 시스템 롤백 세그먼트를 사용할 수 없습니다.
ORA-01553 MAXEXTENTS는 현재 할당된 %s 엑스텐트 수 이상이어야 합니다.
ORA-01554 트랜잭션 슬롯이 없습니다.
ORA-01555 스냅샷이 너무 오래 되었습니다(롤백 세그먼트가 너무 작습니다)
ORA-01556 롤백 세그먼트를 위한 MINEXTENTS는 1보다 커야만 합니다.
ORA-01557 롤백 세그먼트 엑스텐트는 최저 %s 블록이 필요합니다.
ORA-01558 롤백 세그먼트 %s 에 트랜잭션 번호가 없습니다.
ORA-01559 롤백 세그먼트의 MAXEXTENTS 는 2 이상입니다.
ORA-01560 글로벌 해쉬 테이블의 크기가 %s와 일치하지 않습니다 (%s !=%s)
ORA-01561 지정된 테이블 영역중의 개체가 삭제되지 않았습니다.
ORA-01562 롤백 세그먼트 확장 실패입니다 (id = %s)
ORA-01563 키워드 PUBLIC 을 사용해 주십시오
ORA-01564 롤백 세그먼트는 PUBLIC 이 아닙니다.
ORA-01565 화일 %s 의 식별 오류가 발생했습니다.
ORA-01566 DROP LOGFILE에 화일이 2회 이상 지정되었습니다.
ORA-01567 로그 %s를 삭제하면 쓰레드 %s에 남는 로그 화일이 2개 미만으로 됩니다.
ORA-01568 PUBLIC에 영역 할당량을 설정할 수 없습니다.
ORA-01569 시스템 DICTIONARY 테이블에 대한 데이타 화일이 너무 작습니다.
ORA-01570 MINEXTENTS는 현재 할당된 %s보다 클 수 없습니다.
ORA-01571 로그 레코드 버전 %s 가 ORACLE의 버전 %s 과 호환되지 않습니다.
ORA-01572 롤백 세그먼트용 글로벌 해쉬 테이블의 크기 %s가 롤백 세그먼트 번호 %s 에 대해 너무 작음
ORA-01573 인스턴스의 정지 처리가 진행중. 더 이상의 변경은 허용되지 않습니다.
ORA-01574 최대 동시 실행 트랜잭션 수를 초과했습니다.
ORA-01575 영역 관리 자원의 대기중 시간이 초과되었습니다.
ORA-01576 인스턴스 잠금 프로토콜 버전 %s는 ORACLE의 버전 %s 와 호환되지 않습니다.
ORA-01577 로그 화일 %s는 이미 데이타베이스의 일부입니다 등록이 불가능합니다.
ORA-01578 ORACLE 데이타 블록이 파손되었습니다 (화일 번호 %s, 블록 번호 %s)
ORA-01579 복구중 기록(write) 오류가 발생했습니다.
ORA-01580 제어 화일의 백업 화일 %s 를 작성하는 중에 오류가 발생했습니다.
ORA-01581 이미 할당된 롤백 세그먼트(%s) 새로운 익스텐트(%s)를 사용하려 시도했습니다.
ORA-01582 백업을 하기위해 제어 화일을 열 수 없습니다.
ORA-01583 백업될 제어 화일의 블록 크기를 획득할 수 없습니다.
ORA-01584 백업될 제어 화일의 화일 크기를 획득할 수 없습니다.
ORA-01585 백업 화일 %s 를 인식할 수 없습니다.
ORA-01586 백업을 하기위한 수신 화일 %s을 열 수 없습니다.
ORA-01587 제어 화일의 백업 화일 복제중 오류가 발생했습니다.
ORA-01588 데이타베이스를 열기 위해서는 RESETLOGS 옵션을 사용해야 합니다.
ORA-01589 데이타베이스를 열기 위해서는 RESETLOGS/NORESETLOGS 옵션을 사용해야 함
ORA-01590 가용 세그멘트 수(%s)가 최대치인 %s 를 초과합니다.
ORA-01591 잠금이 in-doubt 분산 트랜잭션 %s에 주어졌습니다.
ORA-01592 버전 6의 롤백 세그먼트(%s)를 Oracle7 포맷으로 변환시 오류 발생
ORA-01593 롤백 세그먼트의 최적크기(%s 블록)가 초기크기 계산(%s 블록)보다 작습니다.
ORA-01594 해제될 롤백 세그먼트(%s) 익스텐트(%s)를 연결하려함
ORA-01595 익스텐스(%s)(롤백 세그먼트 (%s)의) 해제시 오류
ORA-01596 %s 파라미터에 시스템을 지정할 수 없습니다.
ORA-01597 시스템 롤백 세그먼트를 온라인 혹은 오프라인시킬 수 없습니다.
ORA-01598 롤백 세그먼트 %s가 온라인이 아닙니다.
ORA-01599 롤백 세그먼트(%s)를 획득하는데 실패, 캐쉬 영역이 꽉찼습니다현재(%s)엔트리를 가짐)
ORA-01600 많아야 하나의 %s (gc_files_to_locks의 %s절에)
ORA-01601 gc_files_to_locks의 %s절에 부당한 버켓(bucket) 크기
ORA-01602 gc_files_to_locks에 예정된 것보다 gc_db_locks에 더 많은 잠금임
ORA-01603 gc_files_to_locks의 %s절에 부당한 그룹크기
ORA-01604 gc_files_to_locks의 %s절에 부당한 화일 번호 범위
ORA-01605 gc_files_to_locks의 %s절에 화일 번호 누락
ORA-01606 gc_files_to_lock가 마운트한 다른 인스턴스의 그것과 동일하지 않습니다.
ORA-01607 gc_lck_procs (%s)가 다른 인스턴스 (%s)와 같지 않습니다.
ORA-01608 롤백 세그먼트 %s를 온라인화할 수 없음. 상태는 (%s)
ORA-01609 로그 %s는 쓰레드 %s에 대한 현 로그 - 멤버를 삭제할 수 없습니다.
ORA-01610 BACKUP CONTROLFILE 옵션을 이용해서 복구가 끝나야만 합니다.
ORA-01611 쓰레드번호 %s는 부적절함 - %s보다 커서는 안됩니다.
ORA-01612 쓰레드 %s는 이미 가용되었습니다.
ORA-01613 쓰레드 %s는 %s 로그만을 가짐 - 가용화를 위해서는 최소 2개의 로그를 필요로 함
ORA-01614 쓰레드 %s는 사용중임 - 사용가능하게할 수 없습니다.
ORA-01615 쓰레드 %s는 마운트됨 - 사용불가하게할 수 없습니다.
ORA-01616 쓰레드 %s는 열려 있음 - 사용불가하게할 수 없습니다.
ORA-01617 마운트할 수 없음: %s는 정당한 쓰레드 번호가 아님
ORA-01618 쓰레드 %s는 사용가능하지 않았음 - 마운트할 수 없습니다.
ORA-01619 쓰레드 %s는 다른 인스턴스에 의해 마운트했습니다.
ORA-01620 마운트에 필요한 공용 쓰레드가 없습니다.
ORA-01621 데이타베이스가 열려 있으면 현 로그의 멤버를 개명할 수 없습니다.
ORA-01622 쓰레드 번호가 지정되어야함 - 디폴트는 없습니다.
ORA-01623 로그 %s는 쓰레드 %s에 대한 현 로그임 - 삭제할 수 없습니다.
ORA-01624 로그 %s가 쓰레드 %s 복구시 필요합니다.
ORA-01625 롤백 세그먼트 %s는 이 인스턴스에 속해있지 않습니다.
ORA-01626 롤백 세그먼트 번호 %s는 더 이상의 트랜잭션을 처리할 수 없습니다.
ORA-01627 롤백 세그먼트 번호 %s는 온라인이 아닙니다.
ORA-01628 롤백 세그먼트 %s에 대한 최대 익스텐스 수 (%s)에 도달했습니다.
ORA-01629 테이블 영역 %s에 대한 실행취소의 저장시 최대 익스텐트 수(%s)에 도달했음
ORA-01630 테이블 영역 %s의 임시 세그먼트에 최대 익스텐트 수(%s)가 되었습니다.
ORA-01631 최대 익스텐트 수(%s)에 도달 (테이블 %s.%s)
ORA-01632 최대 익스텐트 수(%s)에 도달 (색인 %s.%s)
ORA-01633 이 조작에는 병렬 서버 옵션이 필요합니다.
ORA-01634 롤백 세그먼트 번호 %s가 오프라인 되려합니다.
ORA-01635 지정된 롤백 세그먼트 번호 %s가 가용하지 않습니다.
ORA-01636 롤백 세그먼트 %s가 이미 온라인 상태입니다.
ORA-01637 롤백 세그먼트 %s가 다른 인스턴스(수 %s)에 의해 사용됩니다.
ORA-01638 %s 파라미터는 ORACLE 버전 %s에서 병렬 마운트를 허용하지 않습니다.
ORA-01639 데이타베이스는 잠금 프로세스 없이 병렬로 마운트할 수 없습니다.
ORA-01640 활성 트랙잰션으로 테이블 공간을 읽기 전용으로 만들수 없습니다.
ORA-01641 테이블스페이스 %s은 온라인이 아닙니다 - 데이타 화일을 추가할 수 없습니다.
ORA-01642 읽기 전용 %s 테이블 공간에 초기 백업이 필요하지 않습니다.
ORA-01643 시스템 테이블 공간를 읽기 전용으로 만들 수 없습니다.
ORA-01644 %s 테이블 공간은 이미 읽기 전용입니다.
ORA-01645 읽기 쓰기를 하기위해서 이전에 시도한것이 반만 완성되었습니다.
ORA-01646 %s 테이블 공간은 읽기 전용입니다- 읽기 쓰기를 할 수 없습니다.
ORA-01647 %s 테이블 공간은 읽기 전용이어서, 거기에 공간을 할당할 수 없습니다.
ORA-01648 로그 %s는 사용불가인 쓰레드 %s의 현재 로그입니다.
ORA-01649 백업 컨트롤 화일에 대한 작업이 허용되지 않습니다.
ORA-01650 롤백 세그먼트 %s를 %s에 의해 %s 테이블 공간에서 확장할 수 없습니다.
ORA-01651 %s로 테이블 공간 %s에 저장 취소 세그먼트를 확장할 수 없습니다.
ORA-01652 %s로 테이블 공간 %s에서 임시 세그먼트를 확장할 수 없습니다.
ORA-01653 테이블 %s.%s를 %s에 의해 %s 테이블 공간에서 확장할 수 없습니다.
ORA-01654 색인 %s.%s를 %s에 의해 %s 테이블 공간에서 확장할 수 없습니다. --> 테이블스페이스 확장 필요 
ORA-01655  크러스터 %s.%s를 %s에 의해 %s 테이블 공간에서 확장할 수 없습니다.
ORA-01656 최대 번호  확장 (%s)가 %s.%s 크러스터에 도달했습니다.
ORA-01657 부적당한 SHRINK 옵션 값
ORA-01658 테이블스페이스 %s에 세그먼트에 대한 INITIAL 익스텐트를 작성할 수 없습니다.
ORA-01659 테이블스페이스 %s에 %s이상의 MINEXTENTS를 할당할 수 없습니다.
ORA-01660 테이블스페이스 %s 은 이미 영구적인 것입니다.
ORA-01661 테이블스페이스 %s 은 이미 임시적인 것입니다.
ORA-01662 테이블스페이스 %s 은 비어 있지 않아 임시로 만들 수가 없습니다.
ORA-01663 테이블스페이스 %s 의 내용은 항상 변경합니다.
ORA-01664 정렬 세그먼트로 확장된 트랜잭션은 중지 되었습니다.
ORA-01665 제어화일은 대기 제어화일이 아닙니다.
ORA-01666 제어화일은 대기 제어화일을 위한 것입니다.
ORA-01667 리두 로그는 대기 데이터베이스와 상반됩니다.
ORA-01668 데이터 화일의 오프라인을 위해서 대기 데이터베이스가 DROP 옵션을 요구합니다.
ORA-01669 대기 데이터베이스 제어화일은 데이터화일과 일치하지 않습니다.
ORA-01670 대기 데이터베이스 복구에 새로운 데이터화일 %s 가 필요합니다.
ORA-01671 제어화일은 백업합니다, 대기 제어화일을 만들 수 없습니다.
ORA-01672 제어화일에 화일이 빠졌거나 하나 더 가지고 있습니다.
ORA-01673 데이터 화일 %s 은 식별된것이 아닙니다.
ORA-01674 데이터 화일 %s 은 현재 화일 대신 오래된 것을 가지고 있습니다.
ORA-01676 대기 화일 이름은 %s의 변환을 하는데 최대 %s의 길이를 초과했습니다.
ORA-01677 대기 화일 이름이 파라미터 변환을 다른 인스턴스와 다르게 했습니다.
ORA-01678 파라미터 %s 은 패턴과 교체로 된 두가지 스트링을 가지고 있어야 합니다.
ORA-01679 데이터베이스는 EXCLUSIVE로 마운트 되어야 하고 열려 있지 않아야 합니다.
ORA-01680 만약 gc_files_to_locks이 사용하고 있으면 gc_db_locks가 영일 수 없습니다.
ORA-01700 리스트 내의 사용자명이 중복되었습니다.
ORA-01701 클러스터가 부적합합니다.
ORA-01702 뷰는 부적합합니다.
ORA-01703 키워드 SYNONYM이 없습니다.
ORA-01704 스트링이 너무 깁니다.
ORA-01705 상관 열에는 외부 결합을 지정할 수 없습니다.
ORA-01706 사용자 함수의 결과가 너무 큽니다.
ORA-01707 키워드 LIST가 없습니다.
ORA-01708 ACCESS 또는 SESSION을 지정해 주십시오
ORA-01709 프로그램이 존재하지 않습니다.
ORA-01710 키워드 OF가 없습니다.
ORA-01711 중복된 권한이 리스트되어 있습니다.
ORA-01712 자신이 소유하지 않은 권한을 허가할 수 없습니다.
ORA-01713 그 권한에 대해서는 GRANT OPTION 이 존재하지 않습니다.
ORA-01714 사용자 함수의 실행중 오류가 발생했습니다.
ORA-01715 클러스터 색인에는 UNIQUE를 사용할 수 없습니다.
ORA-01716 클러스터 색인에는 NOSORT를 사용할 수 없습니다.
ORA-01717 secta : 액세스 모드 토큰이 부적합합니다.
ORA-01718 BY ACCESS | SESSION절은 NOAUDIT에 대해서는 허용되지 않습니다.
ORA-01719 외부 결합 운영 (+)는 OR 또는 IN의 연산수를 허용하지 않습니다.
ORA-01720 %s에 대한 허가(grant) 옵션은 존재하지 않습니다.
ORA-01721 트랜잭션에서 USERENV(COMMITSCN)을 2회 이상 불렀습니다.
ORA-01722 수치가 부적합합니다.
ORA-01723 길이가 0인 열은 지정할 수 없습니다.
ORA-01724 부동 소숫점 수치의 정도를 벗어났습니다 (1 to 126)
ORA-01725 USERENV(COMMITSCN)는 여기에서 허용되지 않습니다.
ORA-01726 테이블의 지정이 부적합합니다.
ORA-01727 수치의 정도 범위(38 자리 이내)를 초과했습니다.
ORA-01728 수치의 스케일 범위(-84 에서 127)를 초과했습니다.
ORA-01729 데이타베이스 링크명을 지정해 주십시오
ORA-01730 지정한 열명의 수가 부적합합니다.
ORA-01731 뷰 정의가 부적합(순환)합니다.
ORA-01732 뷰에 대한 데이타 조작이 부적합합니다.
ORA-01733 가상 열은 사용할 수 없습니다.
ORA-01734 잘못된 파라미터 - EXTENT MIN 값이 EXTENT MAX 보다 큽니다.
ORA-01735 부적합한 ALTER TABLE 옵션입니다.
ORA-01736 [NOT] SUCCESSFUL 을 지정해 주십시오.
ORA-01737 공유, 배타 모드에서만 테이블을 잠금할 수 있습니다.
ORA-01738 키워드 IN 을 지정해 주십시오
ORA-01739 키워드 MODE 를 지정해 주십시오
ORA-01740 이중 인용부를 지정해 주십시오
ORA-01741 길이가 0인 식별자는 부적합합니다.
ORA-01742 주석이 정확하게 종료되지 않았습니다.
ORA-01743 내부적 불일치 : 사용자 함수 색인이 부적합합니다.
ORA-01744 INTO구의 지정이 부적합합니다.
ORA-01745 호스트/바인드 변수명이 부적합합니다.
ORA-01746 인디케이터 변수는 사용할 수 없습니다.
ORA-01747 열명을 올바르게 지정해 주십시오.
ORA-01748 열명 그 자체만 사용할 수 있습니다.
ORA-01749 자신의 권한으로는 GRANT/REVOKE 할 수 없습니다.
ORA-01750 UPDATE/REFERENCE 는 열에 의해서가 아닌 테이블 전체로부터 REVOKE 될 수 있습니다.
ORA-01751 부적당한 덤프 취소 옵션입니다.
ORA-01752 뷰으로 부터 정확하게 하나의 키-보전된 테이블 없이 삭제할 수 없습니다.
ORA-01753 열 정의가 클러스터 열의 정의와 일치하지 않습니다.
ORA-01754 LONG 유형의 열은 테이블에 1 개만 포함될 수 있습니다.
ORA-01755 영역 수나 블록 수를 지정해야만 합니다.
ORA-01756 단일 인용부를 지정해 주십시오
ORA-01757 개체 수를 지정해야 합니다.
ORA-01758 NOT NULL 열을 추가하기 위해서는 테이블이 비어 있어야 합니다.
ORA-01759 사용자 함수가 올바르게 정의되지 않았습니다.
ORA-01760 함수의 인수가 부적합합니다.
ORA-01761 결합문는 유일 테이블에 DML 작업으로 맵 할 수 없습니다.
ORA-01762 vopdrv: 뷰의 질의 블록이 FROM 구에 없습니다.
ORA-01763 갱신 또는 삭제가 외부 결합 테이블을 포함하고 있습니다.
ORA-01764 결합의 새로운 갱신 값은 유일한것을 보증할 수 없습니다.
ORA-01765 테이블의 소유자명을 지정할 수 없습니다.
ORA-01766 데이타 사전 개체명을 사용할 수 없습니다.
ORA-01767 UPDATE ... SET 식은 부속 질의이어야 합니다.
ORA-01768 수치 열이 너무 깁니다.
ORA-01769 CLUSTER 옵션 지정이 중복되었습니다.
ORA-01770 CLUSTER 옵션은 사용할 수 없습니다.
ORA-01771 클러스터 테이블에 대한 옵션이 부적합합니다.
ORA-01772 LEVEL에 대한 값을 지정해야 합니다.
ORA-01773 지정한 CREATE TABLE 문에는 열 데이타 유형을 지정할 수 없습니다.
ORA-01774 한번 이상 덤프 취소 옵션이 지정되었습니다.
ORA-01775 동의어가 순환 고리 유형으로 정의되어 있습니다.
ORA-01776 결합 뷰에 의하여 하나 이상의 기본 테이블을 수정할 수 없습니다.
ORA-01777 WITH GRANT 옵션은 사용할 수 없습니다.
ORA-01778 부속 질의의 내포 레벨의 제한을 초과했습니다.
ORA-01779 키-보존된것이 아닌 테이블로 맵한 열을 수정할 수 없습니다.
ORA-01780 스트링 상수가 필요합니다.
ORA-01781 UNRECOVERABLE은 AS SELECT와 함께 지정해야 합니다.
ORA-01782 클러스터 또는 클러스터 테이블에 대해서는 UNRECOVERABLE을 지정할 수 없습니다.
ORA-01783 RECOVERABLE 또는 UNRECOVERABLE 중 하나만을 지정할 수 있습니다.
ORA-01784 데이타베이스 미디어 복구가 사용불가이면 RECOVERABLE을 지정할 수 없습니다.
ORA-01785 ORDER BY 항목은 SELECT 리스트 식의 수라야 합니다.
ORA-01786 FOR UPDATE 구는 사용할 수 없습니다.
ORA-01787 질의 블록당 1개의 구만 허용됩니다.
ORA-01788 CONNECT BY 구를 지정해 주십시오.
ORA-01789 질의의 결과 열의 수가 틀립니다.
ORA-01790 대응하는 식과 같은 데이타 유형이어야 합니다.
ORA-01791 SELECT 식이 부적합합니다.
ORA-01792 테이블, 뷰에 지정 가능한 열의 최대수는 254 입니다.
ORA-01793 지정 가능한 색인 열의 최대수는 16 입니다.
ORA-01794 지정 가능한 클러스터 열의 최대수는 16 입니다.
ORA-01795 리스트에 지정 가능한 식의 최대수는 254 입니다.
ORA-01796 연산자의 지정이 부적합합니다.
ORA-01797 연산자의 뒤에 ANY 또는 ALL을 지정해 주십시오.
ORA-01798 EXCEPTION 키워드가 누락되었습니다.
ORA-01799 열은 부속 질의에 외부결합될 수 없습니다.
ORA-01800 날짜 형식 내의 리터럴이 너무 길어서 처리할 수 없습니다.
ORA-01801 날짜 형식이 내부 버퍼에 비해 너무 깁니다.
ORA-01802 율리우스일의 지정이 범위를 초과했습니다.
ORA-01803 날짜/시각의 획득 실패
ORA-01810 형식 코드가 2 번 나타났습니다.
ORA-01811 율리우스일에서 년간 통산일의 사용은 금지되어 있습니다.
ORA-01812 년은 1 번만 지정할 수 있습니다.
ORA-01813 시간은 1 번만 지정할 수 있습니다.
ORA-01814 AM/PM 과 A.M./P.M.은 혼재할 수 없습니다.
ORA-01815 BC/AD 와 B.C./A.D.는 혼재할 수 없습니다.
ORA-01816 월은 1 번만 지정할 수 있습니다.
ORA-01817 요일은 1 번만 지정할 수 있습니다.
ORA-01818 HH24와 AM/PM은 혼재할 수 없습니다.
ORA-01819 부호가 붙은 년과 BC/AD는 혼재할 수 없습니다.
ORA-01820 날짜 지정에 포함된 형식 코드가 부적합합니다.
ORA-01821 날짜 형식이 부적합합니다.
ORA-01830 날짜 형식의 지정에 불필요한 데이타가 포함되어 있습니다.
ORA-01831 년과 율리우스일은 혼재할 수 없습니다.
ORA-01832 년의 일과 율리우스일은 혼재할 수 없습니다.
ORA-01833 월과 율리우스일은 혼재할 수 없습니다.
ORA-01834 월의 일과 율리우스일은 혼재할 수 없습니다.
ORA-01835 요일과 율리우스일은 혼재할 수 없습니다.
ORA-01836 시와 일의 초는 혼재할 수 없습니다.
ORA-01837 시의 분과 일의 초는 혼재할 수 없습니다.
ORA-01838 분의 초와 일의 초는 혼재할 수 없습니다.
ORA-01839 지정된 월에 대한 날짜가 부적합합니다.
ORA-01840 입력된 값의 길이가 날짜 형식에 비해 부족합니다.
ORA-01841 년은 -4713 과 +4713 사이의 값으로 지정해 주십시오.
ORA-01842 분기는 1 부터 4 사이의 값을 지정해 주십시오.
ORA-01843 지정한 월이 부적합합니다.
ORA-01844 주를 올바르게 지정해 주십시오 ( 1 에서 52 사이 )
ORA-01845 주를 올바르게 지정해 주십시오 ( 1 에서 5 사이 )
ORA-01846 지정한 요일이 부적합합니다.
ORA-01847 날짜를 올바르게 지정해 주십시오 ( 1 에서 말일까지 )
ORA-01848 날짜를 올바르게 지정해 주십시오 ( 1 에서 365 사이 )
ORA-01849 시간을 올바르게 지정해 주십시오 ( 1 에서 12 사이 )
ORA-01850 시간을 올바르게 지정해 주십시오 ( 0 에서 23 사이 )
ORA-01851 분을 올바르게 지정해 주십시오 ( 0 에서 59 사이 )
ORA-01852 초를 올바르게 지정해 주십시오 ( 0 에서 59 사이 )
ORA-01853 초를 올바르게 지정해 주십시오 ( 0 에서 86399 사이 )
ORA-01854 율리우스 날짜는 1에서 5373484 사이여야 합니다.
ORA-01855 AM/A.M. 또는 PM/P.M.이 필요합니다.
ORA-01856 BC/B.C. 또는 AD/A.D.이 필요합니다.
ORA-01857 시간대가 부적합합니다.
ORA-01858 수치를 지정해야할 곳에 비수치 문자가 지정되었습니다.
ORA-01859 문자를 지정해야할 곳에 비문자가 지정되었습니다.
ORA-01860 년의 주는 1 에서 53 사이이어야 합니다.
ORA-01861 스트링이 형식 스트링에 맞지 않습니다.
ORA-01862 이 형식의 항목에 대한 잘못된 자리수
ORA-01898 Precision 지정자가 너무 많습니다.
ORA-01899 잘못된 Precision 지정자입니다.
ORA-01900 키워드 LOGFILE을 지정해 주십시오
ORA-01901 키워드 ROLLBACK을 지정해 주십시오
ORA-01902 키워드 SEGMENT를 지정해 주십시오
ORA-01903 키워드 EVENTS를 지정해 주십시오
ORA-01904 키워드 DATAFILE을 지정해 주십시오
ORA-01905 키워드 STORAGE를 지정해 주십시오
ORA-01906 키워드 BACKUP을 지정해 주십시오
ORA-01907 키워드 TABLESPACE를 지정해 주십시오
ORA-01908 키워드 EXISTS를 지정해 주십시오
ORA-01909 키워드 REUSE를 지정해 주십시오
ORA-01910 키워드 TABLES을 지정해 주십시오
ORA-01911 키워드 CONTENTS를 지정해 주십시오
ORA-01912 키워드 ROW를 지정해 주십시오
ORA-01913 키워드 EXCLUSIVE를 지정해 주십시오
ORA-01914 시퀀스 번호에 대한 감사 옵션이 부적합합니다.
ORA-01915 뷰에 대한 감사 옵션이 부적합합니다.
ORA-01916 키워드 ONLINE, OFFLINE, RESIZE, AUTOEXTEND 또는 END를 지정하십시오
ORA-01917 사용자 또는 롤 %s가 존재하지 않습니다.
ORA-01918 사용자 %s가 존재하지 않습니다.
ORA-01919 롤 %s가 존재하지 않습니다.
ORA-01920 사용자명 %s가 다른 사용자나 롤명과 상충됩니다.
ORA-01921 롤명 %s가 다른 사용자나 롤명과 상충됩니다.
ORA-01922 %s를 삭제하려면 CASCADE를 지정하여야 합니다.
ORA-01923 개체가 다른 사용자에 의해서 잠금 되어 CASCADE가 비정상 종료되었습니다.
ORA-01924 롤 %s가 허가되지 않았거나 존재하지 않습니다.
ORA-01925 가용 롤의 최대치 %s를 초과했습니다.
ORA-01926 WITH GRANT OPTION으로 롤을 GRANT할 수 없습니다.
ORA-01927 허가하지 않은 권한을 REVOKE할 수 없습니다.
